,text,star,hp_data,city,transformed_date,product_num,state
60,"Cooling is very very low.
Very disappointed

When I set at 19c /20c it takes approximately 4 hour to reach 25 c room temperature from 31c.
And it consumes 12 kwh ( unit) to 13 kwh power consumption. It's very high for 4 hour usages.",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Rajkot District,"May, 2024","TS-Q18JNXE3, Copper Condenser",Rajkot District
61,The product was not installed as the Jeeves Technician won't install if you don't buy AC stand and stabilizer from them. I dirc LG for installation. Cooling is not that great. You have to buy 1 Ton or above. 0.8 Ton is useless for my 90 sq.ft room.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Chennai,"May, 2024","TS-Q18JNXE3, Copper Condenser",Chennai
62,Cooling capacity is very low ..takes too much time for cooling.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Patna,"May, 2024","TS-Q18JNXE3, Copper Condenser",Patna
63,The AI feature doesn't work,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Gorakhpur,"May, 2024","TS-Q18JNXE3, Copper Condenser",Gorakhpur
64,"Waste of money, getting complain frequently, lg customer service not supportive etc...",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Gopalganj District,"May, 2024","TS-Q18JNXE3, Copper Condenser",Gopalganj District
65,"Third class AC I have purchased ever, makes too much noise while in running condition. 8 won't recommend it to buy to anyone. Utterly disappointed by its performance too.",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Bharuch,"May, 2024","TS-Q18JNXE3, Copper Condenser",Bharuch
66,"very low cooling,next to zero cooling
poor service by jeeves of flipkart

poor service by flipkart",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Hyderabad,"May, 2024","TS-Q18JNXE3, Copper Condenser",Hyderabad
67,"Not cooling properly. And the behaviour of the technician is very bad
don't buy",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Bansberia,"May, 2024","TS-Q18JNXE3, Copper Condenser",Bansberia
68,Wrost experience,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Jamshedpur,"May, 2024","TS-Q18JNXE3, Copper Condenser",Jamshedpur
69,"After one month i am writing this review, worst even after 30 mins the room is not getting cool and getting more noice",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Ranga Reddy,"May, 2024","TS-Q18JNXE3, Copper Condenser",Ranga Reddy
